%id dtp6 dtp6_rank
590204 30264 515
050910 30343 516
190612 30393 517
190615 30411 518
710403 30441 519
360406 30496 520
590106 30500 521
712503 30581 522
190417 30775 523
280113 30988 524
711603 31071 525
700108 31131 526
240203 31167 527
130908 31190 528
710824 31227 529
700112 31332 530
280111 31373 531
230601 31381 532
230310 31461 533
280406 31530 534
132201 31589 535
132314 31669 536
280109 31675 537
570304 31753 538
530321 31765 539
210904 31848 540
570307 31876 541
230704 31947 542
211404 31970 543
510116 31988 544
321006 32123 545
280608 32192 546
130811 32314 547
420405 32351 548
230507 32379 549
711508 32513 550
131402 32536 551
420404 32575 552
321104 32611 553
051401 32677 554
190601 32699 555
280602 32721 556
280504 32804 557
211005 32815 558
230504 32819 559
712803 32856 560
510304 33003 561
700111 33037 562
420310 33049 563
570308 33068 564
211810 33084 565
710408 33090 566
051110 33195 567
321105 33210 568
190405 33228 569
280106 33269 571
700202 33269 571
190406 33283 572
210903 33287 573
230613 33332 574
190419 33409 575
211408 33411 576
230907 33418 577
190402 33419 578
590206 33441 579
280404 33458 580
530301 33490 581
051103 33503 582
130803 33520 583
710907 33584 584
211006 33608 585
420408 33630 586
050206 33655 587
590207 33672 588
360404 33680 589
510308 33734 590
280611 33767 591
700401 33782 592
211410 33803 593
230608 33820 594
211104 33825 595
700210 33857 596
711601 33863 597
700208 33955 598
700103 33961 599
210803 33966 600
230902 34004 601
230304 34023 602
052101 34067 603
132305 34085 604
712501 34178 605
190426 34181 606
190421 34221 607
210607 34235 608
510306 34242 609
700114 34255 610
190610 34306 611
590114 34336 612
712505 34423 613
230708 34529 614
051107 34559 615
130809 34574 616
590108 34615 617
280303 34620 618
280604 34667 619
212203 34700 620
530313 34706 621
320305 34722 622
230509 34840 623
132311 34961 624
510114 34980 625
230311 35061 626
320306 35070 627
420309 35077 628
320307 35099 629
190604 35106 630
710401 35107 631
190401 35126 632
190505 35211 633
131105 35224 634
050613 35334 635
090202 35368 636
051109 35495 637
280501 35576 638
700205 35612 639
420306 35666 640
710919 35688 641
230908 35733 642
050511 35803 643
711511 35805 644
190412 35876 645
570305 35955 646
