%substr mjrddis roadlength_rank
670602 1378 1590
230405 1380 1592
710114 1380 1592
130701 1381 1593
250401 1384 1594
370803 1385 1595
380603 1386 1597
440210 1386 1597
300104 1388 1599
510302 1388 1599
360214 1392 1600
251301 1393 1601
070901 1394 1603
130904 1394 1603
370701 1396 1606
400110 1396 1606
500119 1396 1606
090507 1397 1608
310804 1397 1608
140112 1398 1609
211803 1400 1610
670409 1402 1611
321004 1404 1612
322201 1405 1614
570302 1405 1614
380404 1406 1615
360307 1407 1617
740502 1407 1617
250305 1408 1619
730304 1408 1619
260103 1409 1620
510504 1410 1621
712002 1411 1622
330818 1412 1623
130906 1413 1625
600703 1413 1625
480608 1418 1626
170501 1419 1627
530416 1422 1630
550508 1422 1630
660301 1422 1630
390308 1425 1631
051703 1426 1634
250205 1426 1634
730701 1426 1634
610301 1428 1635
330202 1429 1636
620108 1430 1637
641108 1431 1638
221003 1436 1639
220905 1438 1642
380112 1438 1642
390610 1438 1642
600818 1440 1643
230311 1442 1645
520204 1442 1645
310503 1443 1646
271903 1445 1648
660105 1445 1648
520402 1446 1650
570105 1446 1650
200408 1449 1651
270714 1450 1653
451109 1450 1653
531203 1452 1654
200510 1453 1656
501001 1453 1656
221103 1454 1657
310213 1455 1659
420501 1455 1659
310112 1458 1661
711509 1458 1661
150104 1465 1666
420104 1465 1666
620103 1465 1666
670513 1465 1666
750401 1465 1666
031102 1466 1668
690803 1466 1668
530901 1468 1670
700309 1468 1670
320301 1470 1671
140401 1471 1673
520301 1471 1673
070103 1472 1674
130109 1473 1675
040102 1474 1677
570112 1474 1677
570503 1478 1678
180206 1484 1679
100109 1485 1683
140611 1485 1683
330805 1485 1683
510102 1485 1683
490316 1488 1685
650512 1488 1685
230115 1494 1689
270702 1494 1689
451205 1494 1689
530605 1494 1689
220804 1495 1690
010301 1496 1692
380122 1496 1692
350201 1498 1694
681701 1498 1694
410302 1499 1695
250103 1501 1697
700307 1501 1697
661404 1504 1698
730106 1505 1699
200507 1509 1701
450107 1509 1701
610604 1510 1702
680501 1511 1703
730505 1513 1704
080507 1514 1706
590110 1514 1706
340105 1515 1707
570504 1517 1708
331612 1519 1709
080106 1521 1710
390102 1522 1711
250202 1524 1712
340103 1525 1713
230612 1526 1714
090505 1528 1716
330116 1528 1716
221304 1530 1718
480210 1530 1718
390105 1532 1719
270405 1533 1722
340606 1533 1722
380512 1533 1722
530502 1534 1723
420301 1535 1724
650117 1536 1725
470108 1537 1727
661102 1537 1727
171006 1540 1728
110603 1543 1729
030707 1547 1731
531001 1547 1731
060208 1552 1733
250508 1552 1733
100103 1554 1735
190411 1554 1735
420717 1555 1737
470501 1555 1737
070302 1560 1739
680122 1560 1739
121601 1561 1742
320701 1561 1742
520201 1561 1742
200806 1562 1743
360205 1563 1744
271202 1564 1745
200605 1565 1746
323602 1567 1747
020410 1569 1748
680604 1570 1749
020415 1572 1750
160109 1573 1751
323103 1575 1752
690305 1576 1753
490516 1577 1754
210901 1578 1756
360603 1578 1756
440702 1582 1758
700104 1582 1758
350409 1583 1759
390603 1585 1761
620703 1585 1761
040208 1586 1763
420803 1586 1763
710106 1587 1764
131503 1589 1766
330712 1589 1766
350304 1590 1767
230901 1592 1768
330707 1594 1770
640801 1594 1770
250404 1596 1772
670307 1596 1772
100201 1598 1773
020407 1600 1775
450807 1600 1775
520405 1601 1776
650705 1603 1777
200105 1604 1779
730503 1604 1779
690308 1606 1780
280104 1607 1782
550504 1607 1782
700401 1608 1783
200104 1610 1784
330713 1613 1786
650514 1613 1786
410303 1617 1787
390309 1619 1788
323802 1620 1789
060903 1622 1792
070117 1622 1792
711205 1622 1792
